N,P,K,temperature,humidity,ph,rainfall,label
122,19,199,22.32965830309156,93.62097017813916,5.666339204577051,110.27158928349309,apple
144,23,196,22.13251033595057,93.40980651758726,6.138309370734532,108.50241143202705,apple
142,29,202,21.18203597270328,90.673194897968,6.467817962189289,115.24065387227633,apple
126,30,203,22.88889390499317,92.15766675868274,6.178128274059697,106.70762896151496,apple
134,20,204,23.7463048155152,93.97651466881364,6.080039193189979,115.72280537383992,apple
129,10,198,22.40343346210706,93.724482108155,5.848007621283446,111.22196390508802,apple
123,11,198,22.954176106470804,93.74969133685887,6.469594920080424,118.8804690887838,apple
130,9,205,22.2261830755118,92.536971038094,5.786008453086824,103.04572194352482,apple
141,19,196,21.078834792365956,93.17474617439264,6.1733753956489625,109.2123580431098,apple
128,5,195,21.15564257562341,92.66634331883375,6.417829498523078,103.55905280114288,apple
134,7,197,23.22701989176216,92.68432544182444,5.940526714438584,101.30608535779652,apple
127,27,198,21.714519170294768,94.1163345866578,5.5881993977371005,110.25067795718562,apple
136,20,204,22.42085897815201,92.81363560686847,6.462923905434415,109.59114352769552,apple
132,10,196,22.63497932865841,93.42265015813466,5.939573633738214,106.5399139970466,apple
127,9,196,21.80993566406766,94.50499657714688,5.746843339456106,119.61370634625186,apple
144,18,195,22.589606435063484,93.17418728668328,5.733314188142377,122.24145703800514,apple
140,17,195,22.213572643871693,90.88272567884816,6.3619584245787495,108.10383968041825,apple
144,29,198,21.834917371661057,91.62194994332208,6.166013522445856,100.75297840675208,apple
126,21,197,23.303771139129875,91.95223632620196,5.941613155832801,119.55444037258133,apple
124,15,203,22.148061101961645,91.9940324394599,5.956085286462018,114.98239020390236,apple
122,22,202,23.360418720213623,91.69374040769448,5.560533020663708,113.52232621571174,apple
127,7,203,21.40971578593749,90.979762948952,5.562279147409629,100.15892294817336,apple
136,30,201,22.136756333896766,90.92208031126,6.105524787277029,109.11290338993084,apple
124,29,199,21.39956571554984,92.9048794307738,6.460244057424864,123.88999092866362,apple
128,23,205,23.440987022524727,91.31693443075086,6.122137627592137,105.52526305347662,apple
132,15,197,23.415627651644662,94.69548115867866,6.000330750889163,116.981012112867,apple
128,13,195,22.990881695606816,92.81662524232976,5.618967364966188,109.56600818337267,apple
132,6,203,22.822396861086624,94.26915508282887,6.032133112380579,110.26328239015496,apple
144,5,198,21.127650493331117,92.2429184120004,6.470895144941299,117.11691733123271,apple
128,22,203,23.052363793264544,94.37766430504398,5.950521159358282,100.52518556646692,apple
134,25,197,22.081347928185792,91.10620458332416,6.48072641107926,113.75506304382084,apple
142,26,202,23.925202011373564,93.16640161818992,6.022761719200688,113.5147947588038,apple
138,30,202,21.574473155391843,93.72752254986386,5.926177246134231,100.95821821879407,apple
121,26,204,22.24837784158672,93.39692955607224,6.081667246766095,119.85450512982116,apple
137,11,201,21.718942307781276,94.43748546492957,5.692816469949309,123.23716595379145,apple
145,26,195,22.5732002405474,90.123623025455,5.754957192497032,119.64181625545244,apple
135,28,195,22.111312199794757,90.60494141276943,6.106931369748797,100.26659400553696,apple
131,25,200,23.62537278013541,93.70159667651106,6.292347926184491,122.15288521125044,apple
138,15,204,23.86767353180973,92.48451103554817,6.098435733096759,123.4952390838436,apple
143,6,204,23.273381607114544,94.1626862256544,6.129653947096479,111.88749624183671,apple
144,18,197,21.264086566836248,92.54373654638113,6.330793079877092,102.13721148019022,apple
141,21,196,23.62270502745823,91.4452745562559,6.232814597926734,116.72111229514182,apple
120,17,196,22.6857254237318,94.45131177264732,6.117826462938889,104.26479070987712,apple
131,24,204,23.122569670509208,92.58312468286591,6.310165754633541,123.65634415968978,apple
131,27,197,23.353120284613155,93.95942248097636,5.654506286179765,100.39606845069342,apple
145,12,197,21.826402001453857,94.34773597775956,5.634899018221339,110.46525141428502,apple
127,8,199,23.5310917692432,92.3742279658606,6.392991585081877,118.44712235968056,apple
145,15,205,21.62649456991815,94.07885829153663,6.327027322491727,121.5676217932196,apple
129,28,199,23.033384822219336,91.03603820214768,5.956083748844007,124.58600408388898,apple
129,12,203,21.451799138665734,94.54491520815196,5.696028799364507,102.31951768762528,apple
122,27,198,21.227584291599783,90.60432989451706,6.374835830710264,124.7433188467617,apple
144,9,205,21.775310946547435,92.32807915296009,6.283935149983602,123.7754083533322,apple
145,24,200,22.10759553645816,90.50572060119642,6.205144212300136,108.3605742085816,apple
122,7,198,23.00763846254543,93.89254572018396,5.991808741518794,103.68348372854872,apple
131,11,203,23.287944433114543,90.11554383819724,6.234229086908937,123.09355899779442,apple
142,29,202,22.55726528145191,90.189460892951,5.585246753183535,105.34001681416252,apple
141,26,196,22.76515453285977,92.46456809236462,5.530245883381494,109.53906998257064,apple
139,10,201,23.18481048483811,91.82590049363364,5.755065743731773,109.87986616993464,apple
141,15,205,23.72499759213363,94.54031895242272,6.363352756053618,124.12001392801346,apple
144,7,198,23.169031042393183,90.05398486808379,5.876913558351663,119.25580559394088,apple
125,22,198,23.944282398624782,92.30383750089838,6.159363945183836,111.76275752463556,apple
139,10,205,21.324122825556465,92.19701790980774,6.228089464026915,100.45122348868593,apple
129,21,200,21.050476429731557,93.04959628228114,5.909620676441729,113.12434353129008,apple
130,8,197,22.60247501507233,94.1210867176971,6.440793827045375,116.11299617764686,apple
125,7,195,22.83192777022871,93.1447903706862,6.037674904282257,116.509810005323,apple
122,16,195,21.676966831020906,90.45066635702656,5.6763010324303,102.58178998259682,apple
139,18,203,23.535900616424204,94.22886075702776,5.646412708274099,110.7219439017275,apple
133,7,205,23.714070018918747,94.0845071816214,5.889475761866432,120.00244263899106,apple
120,16,204,21.19578676693296,92.59945053637624,6.324424211574204,114.7806543916996,apple
144,12,197,22.36374377161596,94.79234609501664,5.962783460541858,108.56620095430073,apple
130,23,200,22.06676042784328,93.18201294503731,6.354060447097802,112.14102655961116,apple
122,17,199,23.29159553937837,92.99113215292758,5.6447011086574745,118.43423295962673,apple
138,27,199,23.265183361374348,93.95237557466046,5.901354111505838,100.6939960857612,apple
133,26,205,22.58895146779149,91.5410799708918,6.229513991730667,124.3561202025261,apple
134,24,197,22.72663267561543,92.4642037170607,5.546616756384027,123.31755557146806,apple
132,28,200,21.90581846738615,92.83118433611756,6.224786684818222,107.16976173384175,apple
129,24,203,23.036775254200784,90.7377686291971,6.296588614331312,116.12194486209243,apple
126,26,195,22.648687808819187,92.31334452440623,5.988533472783462,111.63184613354704,apple
126,19,200,23.54189569300431,92.59412545247822,6.19865484763376,115.9622303083671,apple
128,19,199,21.66686446115393,90.2330423406494,6.233214664867307,108.2886162024446,apple
